?x	?xl
<http://purl.obolibrary.org/obo/ZFA_0005862>	"ovarian lymph vessel"
<http://purl.obolibrary.org/obo/ZFA_0005633>	"lepidotrichium segment"
<http://purl.obolibrary.org/obo/ZFA_0001719>	"presumptive cardiac ventricle heart tube"
<http://purl.obolibrary.org/obo/ZFA_0007074>	"maxillary barbel blood sinus"
<http://purl.obolibrary.org/obo/ZFA_0005383>	"dorsal fin proximal radial 6"
<http://purl.obolibrary.org/obo/ZFA_0000929>	"myotome somite 21"
<http://purl.obolibrary.org/obo/ZFA_0001365>	"trigeminal motor nucleus"
<http://purl.obolibrary.org/obo/ZFA_0005397>	"hyoideomandibular nerve"
<http://purl.obolibrary.org/obo/ZFA_0000215>	"inferior olive"
<http://purl.obolibrary.org/obo/ZFA_0000585>	"kinethmoid cartilage"
<http://purl.obolibrary.org/obo/ZFA_0000411>	"posterior crista primordium"
<http://purl.obolibrary.org/obo/ZFA_0005666>	"ventral spinal nerve septal branch"
<http://purl.obolibrary.org/obo/ZFA_0001421>	"anal fin lepidotrichium"
<http://purl.obolibrary.org/obo/ZFA_0001602>	"intercalarium ascending process"
<http://purl.obolibrary.org/obo/ZFA_0007117>	"Meckel's cartilage-palatoquadrate cartilage joint"
<http://purl.obolibrary.org/obo/ZFA_0000726>	"somite 14"
<http://purl.obolibrary.org/obo/ZFA_0005265>	"premaxillary-maxillary ligament"
<http://purl.obolibrary.org/obo/ZFA_0005092>	"mesencephalic vein"
<http://purl.obolibrary.org/obo/ZFA_0000695>	"labial cavity"
<http://purl.obolibrary.org/obo/ZFA_0001704>	"scale primordium"
<http://purl.obolibrary.org/obo/ZFA_0001531>	"epibranchial 4 cartilage"
<http://purl.obolibrary.org/obo/ZFA_0005008>	"aortic arch 4"
<http://purl.obolibrary.org/obo/ZFA_0000836>	"sclerotome somite 30"
<http://purl.obolibrary.org/obo/ZFA_0001698>	"rostral octaval nerve motor nucleus"
<http://purl.obolibrary.org/obo/ZFA_0001268>	"sperm duct"
<http://purl.obolibrary.org/obo/ZFA_0000488>	"ceratobranchial bone"
<http://purl.obolibrary.org/obo/ZFA_0000604>	"ventral aorta"
<http://purl.obolibrary.org/obo/ZFA_0000999>	"mesenchyme derived from trunk neural crest"
<http://purl.obolibrary.org/obo/ZFA_0000363>	"hypobranchial bone"
<http://purl.obolibrary.org/obo/ZFA_0005223>	"lateral larval melanophore stripe"
<http://purl.obolibrary.org/obo/ZFA_0005050>	"palatocerebral artery"
<http://purl.obolibrary.org/obo/ZFA_0000106>	"extension"
<http://purl.obolibrary.org/obo/ZFA_0000096>	"cardinal system"
<http://purl.obolibrary.org/obo/ZFA_0000598>	"testis"
<http://purl.obolibrary.org/obo/ZFA_0005679>	"ventromedial zone olfactory bulb"
<http://purl.obolibrary.org/obo/ZFA_0005333>	"tongue"
<http://purl.obolibrary.org/obo/ZFA_0000035>	"lens"
<http://purl.obolibrary.org/obo/ZFA_0000867>	"epaxial region somite 18"
<http://purl.obolibrary.org/obo/ZFA_0001241>	"ceratobranchial 3 bone"
<http://purl.obolibrary.org/obo/ZFA_0005486>	"quadrate-metapterygoid joint"
<http://purl.obolibrary.org/obo/ZFA_0001280>	"branchiostegal ray 3"
<http://purl.obolibrary.org/obo/ZFA_0005596>	"paired fin"
<http://purl.obolibrary.org/obo/ZFA_0001524>	"hypobranchial 1 cartilage"
<http://purl.obolibrary.org/obo/ZFA_0001351>	"stratum album centrale"
<http://purl.obolibrary.org/obo/ZFA_0000298>	"vent"
<http://purl.obolibrary.org/obo/ZFA_0005864>	"retinotectal tract"
<http://purl.obolibrary.org/obo/ZFA_0005126>	"intestinal bulb epithelium"
<http://purl.obolibrary.org/obo/ZFA_0005652>	"aponeurosis"
<http://purl.obolibrary.org/obo/ZFA_0001108>	"anterior commissure"
<http://purl.obolibrary.org/obo/ZFA_0001634>	"perichondrium"
<http://purl.obolibrary.org/obo/ZFA_0005762>	"subcutaneous fat"
<http://purl.obolibrary.org/obo/ZFA_0001384>	"pelvic fin bud"
<http://purl.obolibrary.org/obo/ZFA_0005389>	"gill opening"
<http://purl.obolibrary.org/obo/ZFA_0005043>	"nevus"
<http://purl.obolibrary.org/obo/ZFA_0000207>	"fin musculature"
<http://purl.obolibrary.org/obo/ZFA_0000452>	"urohyal"
<http://purl.obolibrary.org/obo/ZFA_0001427>	"anterior naris"
<http://purl.obolibrary.org/obo/ZFA_0005499>	"circulus"
<http://purl.obolibrary.org/obo/ZFA_0000914>	"floor plate telencephalic region"
<http://purl.obolibrary.org/obo/ZFA_0001537>	"mesocoracoid cartilage"
<http://purl.obolibrary.org/obo/ZFA_0001051>	"caudal division of the internal carotid artery"
<http://purl.obolibrary.org/obo/ZFA_0001586>	"pectoral fin radial"
<http://purl.obolibrary.org/obo/ZFA_0001329>	"retinal inner plexiform layer"
<http://purl.obolibrary.org/obo/ZFA_0007043>	"hindbrain neural tube"
<http://purl.obolibrary.org/obo/ZFA_0000549>	"posttemporal"
<http://purl.obolibrary.org/obo/ZFA_0000947>	"dorsal fin proximal radial"
<http://purl.obolibrary.org/obo/ZFA_0005472>	"inter-frontal joint"
<http://purl.obolibrary.org/obo/ZFA_0000355>	"roof plate midbrain region"
<http://purl.obolibrary.org/obo/ZFA_0005229>	"optic choroid"
<http://purl.obolibrary.org/obo/ZFA_0005056>	"palatocerebral vein"
<http://purl.obolibrary.org/obo/ZFA_0005582>	"dorsal proneural cluster"
<http://purl.obolibrary.org/obo/ZFA_0000027>	"paired fin skeleton"
<http://purl.obolibrary.org/obo/ZFA_0005339>	"nucleus of the lateral recess"
<http://purl.obolibrary.org/obo/ZFA_0001489>	"compound organ component"
<http://purl.obolibrary.org/obo/ZFA_0000313>	"anal inclinator"
<http://purl.obolibrary.org/obo/ZFA_0005417>	"utriculosaccular foramen"
<http://purl.obolibrary.org/obo/ZFA_0001286>	"caudal vein plexus"
<http://purl.obolibrary.org/obo/ZFA_0001039>	"sclerotome somite 19"
<http://purl.obolibrary.org/obo/ZFA_0000978>	"somite 22"
<http://purl.obolibrary.org/obo/ZFA_0000502>	"dorsal motor nucleus trigeminal nerve"
<http://purl.obolibrary.org/obo/ZFA_0005167>	"hepatopancreatic ampulla"
<http://purl.obolibrary.org/obo/ZFA_0001149>	"olfactory system"
<http://purl.obolibrary.org/obo/ZFA_0000612>	"protractor hyoidei"
<http://purl.obolibrary.org/obo/ZFA_0001643>	"anatomical space"
<http://purl.obolibrary.org/obo/ZFA_0001205>	"Meckel's cartilage"
<http://purl.obolibrary.org/obo/ZFA_0005111>	"medial forebrain bundle"
<http://purl.obolibrary.org/obo/ZFA_0005035>	"subintestinal vein"
<http://purl.obolibrary.org/obo/ZFA_0005049>	"prosencephalic artery"
<http://purl.obolibrary.org/obo/ZFA_0001315>	"atrioventricular canal"
<http://purl.obolibrary.org/obo/ZFA_0001468>	"anterior lateral line system"
<http://purl.obolibrary.org/obo/ZFA_0000931>	"myotome somite 27"
<http://purl.obolibrary.org/obo/ZFA_0000270>	"maxilla"
<http://purl.obolibrary.org/obo/ZFA_0005374>	"dorsal fin distal radial 3"
<http://purl.obolibrary.org/obo/ZFA_0005882>	"spermatogenic cyst"
<http://purl.obolibrary.org/obo/ZFA_0001578>	"anterior dorsomedial process of autopalatine"
<http://purl.obolibrary.org/obo/ZFA_0000133>	"neural rod"
<http://purl.obolibrary.org/obo/ZFA_0000380>	"lateral lemniscus nucleus"
<http://purl.obolibrary.org/obo/ZFA_0007035>	"spinal cord neural rod"
<http://purl.obolibrary.org/obo/ZFA_0005660>	"intestinal mucosa"
