?x	?xl
<http://purl.obolibrary.org/obo/DOID_0111088>	"Fanconi anemia complementation group F"
<http://purl.obolibrary.org/obo/DOID_0070008>	"Seckel syndrome 10"
<http://purl.obolibrary.org/obo/DOID_5731>	"chronic salpingitis"
<http://purl.obolibrary.org/obo/DOID_3247>	"rhabdomyosarcoma"
<http://purl.obolibrary.org/obo/DOID_1443>	"cerebral degeneration"
<http://purl.obolibrary.org/obo/DOID_5684>	"spondyloepimetaphyseal dysplasia, Sponastrime type"
<http://purl.obolibrary.org/obo/DOID_7088>	"columnar cell variant papillary carcinoma"
<http://purl.obolibrary.org/obo/DOID_0060290>	"blepharophimosis-intellectual disability syndrome, SBBYS type"
<http://purl.obolibrary.org/obo/DOID_14181>	"calcific tendinitis"
<http://purl.obolibrary.org/obo/DOID_13036>	"tick-borne relapsing fever"
<http://purl.obolibrary.org/obo/DOID_0050332>	"enlarged vestibular aqueduct"
<http://purl.obolibrary.org/obo/DOID_0110322>	"hypertrophic cardiomyopathy 16"
<http://purl.obolibrary.org/obo/DOID_0111253>	"neurofibromatosis 1"
<http://purl.obolibrary.org/obo/DOID_5709>	"mixed-type liposarcoma"
<http://purl.obolibrary.org/obo/DOID_0111049>	"platelet-type bleeding disorder 17"
<http://purl.obolibrary.org/obo/DOID_0111020>	"cone-rod dystrophy 9"
<http://purl.obolibrary.org/obo/DOID_0060315>	"oral hairy leukoplakia"
<http://purl.obolibrary.org/obo/DOID_3012>	"Li-Fraumeni syndrome"
<http://purl.obolibrary.org/obo/DOID_5304>	"ovarian clear cell adenocarcinoma"
<http://purl.obolibrary.org/obo/DOID_9091>	"REM sleep behavior disorder"
<http://purl.obolibrary.org/obo/DOID_7013>	"ovarian mucinous cystadenofibroma"
<http://purl.obolibrary.org/obo/DOID_6811>	"juvenile pilocytic astrocytoma"
<http://purl.obolibrary.org/obo/DOID_1793>	"pancreatic cancer"
<http://purl.obolibrary.org/obo/DOID_0110916>	"hereditary spherocytosis type 1"
<http://purl.obolibrary.org/obo/DOID_10192>	"pleomorphic lipoma"
<http://purl.obolibrary.org/obo/DOID_0110363>	"retinitis pigmentosa 71"
<http://purl.obolibrary.org/obo/DOID_0111294>	"generalized epilepsy with febrile seizures plus 2"
<http://purl.obolibrary.org/obo/DOID_0060196>	"amyotrophic lateral sclerosis type 4"
<http://purl.obolibrary.org/obo/DOID_10201>	"gallbladder lipoma"
<http://purl.obolibrary.org/obo/DOID_13386>	"gastrointestinal anthrax"
<http://purl.obolibrary.org/obo/DOID_4724>	"brain edema"
<http://purl.obolibrary.org/obo/DOID_13628>	"favism"
<http://purl.obolibrary.org/obo/DOID_4364>	"malignant breast melanoma"
<http://purl.obolibrary.org/obo/DOID_0060704>	"lymphoproliferative syndrome"
<http://purl.obolibrary.org/obo/DOID_0111370>	"apolipoprotein C-III deficiency"
<http://purl.obolibrary.org/obo/DOID_0110105>	"atopic dermatitis 9"
<http://purl.obolibrary.org/obo/DOID_3362>	"coronary aneurysm"
<http://purl.obolibrary.org/obo/DOID_0050995>	"episodic ataxia type 7"
<http://purl.obolibrary.org/obo/DOID_11239>	"appendix cancer"
<http://purl.obolibrary.org/obo/DOID_0040075>	"benzo[d]isothiazol-3-one allergic contact dermatitis"
<http://purl.obolibrary.org/obo/DOID_0110058>	"amelogenesis imperfecta type 1E"
<http://purl.obolibrary.org/obo/DOID_2217>	"Bernard-Soulier syndrome"
<http://purl.obolibrary.org/obo/DOID_0110481>	"autosomal recessive nonsyndromic deafness 23"
<http://purl.obolibrary.org/obo/DOID_0080482>	"peroxisome biogenesis disorder 7A"
<http://purl.obolibrary.org/obo/DOID_12239>	"anal margin squamous cell carcinoma"
<http://purl.obolibrary.org/obo/DOID_0070164>	"spermatogenic failure 2"
<http://purl.obolibrary.org/obo/DOID_5804>	"discrete subaortic stenosis"
<http://purl.obolibrary.org/obo/DOID_3911>	"progeria"
<http://purl.obolibrary.org/obo/DOID_5772>	"central nervous system hematologic cancer"
<http://purl.obolibrary.org/obo/DOID_3864>	"adult medulloblastoma"
<http://purl.obolibrary.org/obo/DOID_0110294>	"autosomal recessive limb-girdle muscular dystrophy type 2T"
<http://purl.obolibrary.org/obo/DOID_7841>	"pediatric cerebral ependymoblastoma"
<http://purl.obolibrary.org/obo/DOID_0111137>	"congenital generalized lipodystrophy type 3"
<http://purl.obolibrary.org/obo/DOID_1749>	"squamous cell carcinoma"
<http://purl.obolibrary.org/obo/DOID_3606>	"ovarian mucinous adenocarcinoma"
<http://purl.obolibrary.org/obo/DOID_0080220>	"major affective disorder 1"@en
