?x	?xl
<http://purl.obolibrary.org/obo/MAXO_0000282>	"sex hormone modifying agent therapy"@en
<http://purl.obolibrary.org/obo/NCBITaxon_subfamily>	"subfamily"
<http://purl.obolibrary.org/obo/MAXO_0000316>	"bronchodilator agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000184>	"alpha-adrenergic antagonist agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000272>	"proton pump inhibitor agent therapy"@en
<http://purl.obolibrary.org/obo/XCO_0000165>	"surgical manipulation"
<http://purl.obolibrary.org/obo/NCIT_C19706>	"Dietary Practices"
<http://purl.obolibrary.org/obo/NCIT_C38102>	"Abdominal Radiography"
<http://purl.obolibrary.org/obo/UBERON_0000108>	"blastula stage"
<http://purl.obolibrary.org/obo/NCBITaxon_species>	"species"
<http://purl.obolibrary.org/obo/NPO_1741>	"microwave radiation"
<http://purl.obolibrary.org/obo/UBERON_0000071>	"death stage"
<http://purl.obolibrary.org/obo/MAXO_0000269>	"H2-receptor antagonist agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0001025>	"adrenergic agent therapy"@en
<http://purl.obolibrary.org/obo/NCIT_C17934>	"Tobacco Smoking"
<http://purl.obolibrary.org/obo/NCIT_C61508>	"Cholangiography"
<http://purl.obolibrary.org/obo/NCIT_C96640>	"Total Body Radiography"
<http://purl.obolibrary.org/obo/NCIT_C18272>	"Substance Abuse"
<http://purl.obolibrary.org/obo/MAXO_0000283>	"hormone modifying therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000185>	"antiarrythmic agent therapy"@en
<http://purl.obolibrary.org/obo/UBERON_0000110>	"neurula stage"
<http://purl.obolibrary.org/obo/MAXO_0000317>	"anticholinergic bronchodilator agent therapy"@en
<http://purl.obolibrary.org/obo/NCBITaxon_superclass>	"superclass"
<http://purl.obolibrary.org/obo/NCIT_C38103>	"Chest Radiography"
<http://purl.obolibrary.org/obo/MAXO_0000258>	"glycemic agent therapy"@en
<http://purl.obolibrary.org/obo/UBERON_0000109>	"gastrula stage"
<http://purl.obolibrary.org/obo/NPO_1742>	"radiowave radiation"
<http://purl.obolibrary.org/obo/MAXO_0000284>	"thyroid-modifying hormonal agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000321>	"pulmonary antihypertensive agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000186>	"beta-adrenergic agent therapy"@en
<http://purl.obolibrary.org/obo/UBERON_0000111>	"organogenesis stage"
<http://purl.obolibrary.org/obo/NCIT_C75563>	"Unemployment"
<http://purl.obolibrary.org/obo/NBO_0000338>	"kinesthetic behavior"
<http://purl.obolibrary.org/obo/NCIT_C17427>	"Smoking Cessation"
<http://purl.obolibrary.org/obo/MAXO_0000318>	"phosphodiesterase inhibitor bronchodilator agent therapy"@en
<http://purl.obolibrary.org/obo/NPO_1731>	"radiation"
<http://purl.obolibrary.org/obo/MAXO_0000259>	"insulin therapy"@en
<http://purl.obolibrary.org/obo/GO_0043226>	"organelle"
<http://purl.obolibrary.org/obo/NCIT_C18020>	"Diagnostic Procedure"
<http://purl.obolibrary.org/obo/CARO_0000007>	"immaterial anatomical entity"
<http://purl.obolibrary.org/obo/NCIT_C16273>	"Alcohol Consumption"
<http://purl.obolibrary.org/obo/NCIT_C17127>	"Sex Behavior"
<http://purl.obolibrary.org/obo/MAXO_0000187>	"beta-adrenergic antagonist agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000319>	"sympathomimetic bronchodilator agent therapy"@en
<http://purl.obolibrary.org/obo/NPO_1732>	"electromagnetic radiation"
<http://purl.obolibrary.org/obo/MAXO_0000160>	"antidepressant agent therapy"@en
<http://purl.obolibrary.org/obo/NCBITaxon_order>	"order"
<http://purl.obolibrary.org/obo/GO_0043227>	"membrane-bounded organelle"
<http://purl.obolibrary.org/obo/MAXO_0000157>	"antiparkinson agent therapy"@en
<http://purl.obolibrary.org/obo/NCIT_C16203>	"Clinical or Research Activity"
<http://purl.obolibrary.org/obo/NCIT_C20181>	"Conceptual Entity"
<http://purl.obolibrary.org/obo/NCIT_C38096>	"Vaginography"
<http://purl.obolibrary.org/obo/NCIT_C19160>	"Occupation or Discipline"
<http://purl.obolibrary.org/obo/NCIT_C19683>	"Personal Behavior"
<http://purl.obolibrary.org/obo/MAXO_0000188>	"obsolete calcium channel blocker agent therapy"
<http://purl.obolibrary.org/obo/UBERON_0000066>	"fully formed stage"
<http://purl.obolibrary.org/obo/NPO_1733>	"gamma radiation"
<http://purl.obolibrary.org/obo/NBO_0000313>	"behavior process"
