?x	?xl
<http://purl.obolibrary.org/obo/XAO_0004597>	"neuromere"
<http://purl.obolibrary.org/obo/XAO_0003088>	"seminiferous tubule"
<http://purl.obolibrary.org/obo/XAO_0003097>	"vagus nerve"
<http://purl.obolibrary.org/obo/XAO_0004425>	"m. levator mandibulae longus internus primordium"
<http://purl.obolibrary.org/obo/XAO_1000076>	"NF stage 64"
<http://purl.obolibrary.org/obo/XAO_0005285>	"spindle microtubule"
<http://purl.obolibrary.org/obo/XAO_0003197>	"gustatory system"
<http://purl.obolibrary.org/obo/XAO_0000376>	"omphalomesenteric vein"
<http://purl.obolibrary.org/obo/XAO_0000378>	"musculoabdominal vein"
<http://purl.obolibrary.org/obo/XAO_0004534>	"anterior entopeduncular nucleus"
<http://purl.obolibrary.org/obo/XAO_0003025>	"trunk"
<http://purl.obolibrary.org/obo/XAO_0000267>	"hypophyseal primordium"
<http://purl.obolibrary.org/obo/XAO_0005235>	"dorsal telencephalon"
<http://purl.obolibrary.org/obo/XAO_0000011>	"forebrain"
<http://purl.obolibrary.org/obo/XAO_0003060>	"skeletal system"
<http://purl.obolibrary.org/obo/XAO_0000260>	"perivitelline space"
<http://purl.obolibrary.org/obo/XAO_0000227>	"eye primordium"
<http://purl.obolibrary.org/obo/XAO_0000349>	"larval aorta"
<http://purl.obolibrary.org/obo/XAO_1000062>	"NF stage 50"
<http://purl.obolibrary.org/obo/XAO_0004121>	"apical ectodermal ridge"
<http://purl.obolibrary.org/obo/XAO_0005206>	"anterior side"
<http://purl.obolibrary.org/obo/XAO_0000220>	"dermatome"
<http://purl.obolibrary.org/obo/XAO_0003227>	"pharynx"
<http://purl.obolibrary.org/obo/XAO_0000362>	"coeliaco-mesenteric artery"
<http://purl.obolibrary.org/obo/XAO_0003118>	"myotome of trunk somite 6"
<http://purl.obolibrary.org/obo/XAO_0004520>	"proximal tubule branch"
<http://purl.obolibrary.org/obo/XAO_0003011>	"primary germ layer"
<http://purl.obolibrary.org/obo/XAO_0004155>	"hyaloid artery"
<http://purl.obolibrary.org/obo/XAO_0005194>	"medial nasal prominence"
<http://purl.obolibrary.org/obo/XAO_0005321>	"intercanthal region"
